BoatType,Ladies,Year,Date,Season,Military,Position,Name,Club,Class,SubClass,Time,DecimalTime,Trophies,Record,Notes
Kayak,Male,1948,"",1948,Civilian,0,"South David & Attrill Frank","Chippenham Sea Cadets",Senior,"",76:05,76.1,"","",Whitsun
Kayak,Male,1948,"",1948,Civilian,0,"Parker Roy & Bushey Geoffrey","Chippenham Sea Cadets",Senior,"",76:05,76.1,"","",Whitsun
Canadian,Male,1948,"",1948,Civilian,0,"Walters Brian & Smith Brian","1st Devices Rover Scout",Senior,"",81:50,81.8,"","",""
Canadian,Male,1948,"",1948,Civilian,0,"Brown Peter & Jones Larry","1st Devices Rover Scout",Senior,"",81:50,81.8,"","",""
Kayak,Male,1949,"",1949,Civilian,0,"Flint George & Pay Mike","Richmond ",Senior,"",49:12,49.2,"","",""
Kayak,Male,1949,"",1949,Civilian,0,"Luzmore Frank & Ross Henry","Richmond ",Senior,"",49:53,49.9,"","",""
Kayak,Male,1949,"",1949,Civilian,0,"Watson G M & Wills V W","145 Bristol Sea Scouts",Senior,Scouts,53:10,53.2,"","",""
Kayak,Male,1950,"",1950,Civilian,1,"Ross Henry & Webb Robert","Richmond ",Senior,"",34:52,34.9,"","",""
Kayak,Male,1950,"",1950,Civilian,2,"Bruce H G & Litherland J F","RM Amphibious School",Senior,"",35:12,35.2,"","",""
Kayak,Male,1950,"",1950,Civilian,3,"Keane D W & Davies A","3rd Hillingdon Rover Sea Scouts",Senior,Scouts,40:11,40.2,"","",""
Kayak,Male,1950,"",1950,Navy,4,"Rawll P L & Smith T","RM Amphibious School",Senior,"",40:37,40.6,"","",""
Kayak,Male,1950,"",1950,Navy,5,"Newburn A K & Wride J H",RMFVR,Senior,Reserve,55:31,55.5,"","",""
Kayak,Male,1950,"",1950,Navy,6,"Russell R F & Fermiloe D H",RMFVR,Senior,Reserve,55:46,55.8,"","",""
"Folding Boat",Male,1950,"",1950,Civilian,7,"Draper E L & Flood E H","Southampton Coalporters A R Club",Senior,"",56:31,56.5,"","",""
Kayak,Male,1950,"",1950,Civilian,8,"Townsend A & Arthur L","Middlesex Hosptial",Senior,"",58:09,58.1,"","",""
Kayak,Male,1950,"",1950,Civilian,9,"Tofield R B & Andrews H","Inland Waterways",Senior,"",59:26,59.4,"","",""
Kayak,Male,1950,"",1950,Civilian,10,"Danger G W & Danger A C","Liverpool University",Senior,University,62:30,62.5,"","",""
"Folding Boat",Male,1951,"",1951,Army,1,"Dansie Oliver & Dry R (Bert)","21 (Artists)",Senior,Reserve,24:07,24.1,Tyne,"",""
Kayak,Male,1951,"",1951,Civilian,2,"Bruce H G & Litherland J F","RM Amphibious School",Senior,"",24:21,24.4,"","",""
Kayak,Male,1951,"",1951,Navy,3,"Rawll P L & Lavender","RM Amphibious School",Senior,"",25:47,25.8,"","",""
Kayak,Male,1951,"",1951,Civilian,4,"Houghton A & Simmens","Royal Inst of Chemistry",Senior,"",26:38,26.6,"","",""
"Folding Boat",Male,1951,"",1951,Army,5,"France R & Hayim J H","21 (Artists)",Senior,Reserve,27:52,27.9,"","",""
Kayak,Male,1951,"",1951,Civilian,6,"Keane D W & Davies A","3rd Hillingdon Rover Sea Scouts",Senior,Scouts,28:42,28.7,"","",""
Kayak,Male,1951,"",1951,Navy,7,"Keane A M & Bacon C","HMS Excellent",Senior,"",32:56,32.9,"","",""
Kayak,Male,1951,"",1951,Civilian,8,"Garnett O & Harris E",Romford,Senior,"",33:01,33.0,"","",""
Kayak,Male,1951,"",1951,Navy,9,"Newburn A K & Wride J H",RMFVR,Senior,Reserve,33:32,33.5,"","",""
Kayak,Male,1951,"",1951,Civilian,10,"Gautier Charles & Simmons Anthony","Western Bay ",Senior,"",37:04,37.1,"","",""
Kayak,Male,1951,"",1951,Navy,11,"McKinlay & Acton","HMS Lochinvar",Senior,"",38:15,38.2,"","",""
