WSBoatType,WSRace,Year,Date,Season,WSMilitary,WSPosition,WSName,WSClub,WSClass,WSSubClass,WSTime,WSPoints,WSTrophies,WSNotes
Kayak,A,1968,TBA,1968,Civilian,1,"Lawler Rowland & Whitby M","Richmond ","K2 Senior",TBA,02:12:55,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,1,"Kearns ? & Bunce ?","Jl Re Dover","K2 Junior",TBA,02:29:04,TBA,TBA,.
Kayak,C,1968,TBA,1968,Civilian,1,"Avery ? & Lawler Rowland",Richmond,"K2 Senior",TBA,03:22:09,TBA,TBA,.
Kayak,C,1968,TBA,1968,Civilian,1,"Tarrant ? & Gow ?","Junior Leaders Regt","K2 Junior",TBA,04:12:44,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,2,"Bosher M & Chapman A","Royal ","K2 Senior",TBA,02:16:16,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,2,"Haydon ? & Green ?","Jl Re Dover","K2 Junior",TBA,02:32:25,TBA,TBA,.
Kayak,C,1968,TBA,1968,Civilian,2,"Glavin ? & Head ?","Royal Marines","K2 Senior",TBA,03:45:11,TBA,TBA,.
Kayak,C,1968,TBA,1968,Civilian,2,"Kearns ? & Bunce ?","Hythe Sea Scouts","K2 Junior",TBA,04:13:46,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,3,"Wilkie ? & Wilkinson ?","Met Police Cadets","K2 Senior",TBA,02:22:34,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,3,"Tricker G & Hill G","8Th Worthing Sea Scouts","K2 Junior",TBA,02:35:08,TBA,TBA,.
Kayak,C,1968,TBA,1968,Civilian,3,"Bosher ? & Chapman ?",Richmond,"K2 Senior",TBA,03:45:23,TBA,TBA,.
Kayak,C,1968,TBA,1968,Civilian,3,"Peake ? & Harris ?","Grosvenor House","K2 Junior",TBA,04:17:31,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,4,"Lander ? & Harding ?","St Lukes Coll","K2 Senior",TBA,02:24:38,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,4,"Jones P & Cripps M","Waterside ","K2 Junior",TBA,02:45:43,TBA,TBA,.
Kayak,C,1968,TBA,1968,Civilian,4,"Greenaway Brian & Whitby ?",Richmond,"K2 Senior",TBA,03:45:30,TBA,TBA,.
Kayak,C,1968,TBA,1968,Civilian,4,"Cannings ? & Mitchell ?",Salisbury,"K2 Junior",TBA,04:23:56,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,5,"Gmach J & Johnson D","4 Admirals","K2 Senior",TBA,02:25:17,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,5,"Peake S & Harris G","Hythe Sea Scouts","K2 Junior",TBA,02:37:22,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,6,"Roberts A & Prince R","Reading ","K2 Senior",TBA,02:27:44,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,6,"Parinham D & Taylor W","Atc Battersea","K2 Junior",TBA,02:47:19,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,7,"Leach C & Schnepp C","Exeter ","K2 Senior",TBA,02:29:22,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,7,"Roberts P & Early J","Hythe Sea Scouts","K2 Junior",TBA,02:48:48,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,8,"Davis T & Purchas M","Bradford On Avon","K2 Senior",TBA,02:30:33,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,8,"","","K2 Junior",TBA,"",TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,9,"Pritchard B & Chandler S","Wilts Police","K2 Senior",TBA,02:31:12,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,9,"Neve N & Sollis K","Waterside ","K2 Junior",TBA,02:52:10,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,10,"Stainsby T & Ball C","Metropolitan Police ","K2 Senior",TBA,02:33:37,TBA,TBA,.
Kayak,A,1968,TBA,1968,Civilian,10,"Parry ? & Waterson ?","Jl Re Dover","K2 Junior",TBA,02:53:13,TBA,TBA,.
Kayak,A,1978,TBA,1978,Civilian,1,"",Recc,"K2 Senior",TBA,01:50:39,TBA,TBA,.
Kayak,A,1978,TBA,1978,Civilian,1,"Capps Des & Considine A","Leverton ","K2 Veteran",TBA,02:08:22,TBA,TBA,.
Kayak,B,1978,TBA,1978,Civilian,1,"Pearson A & Pendle Dyson","35Th Norwich Sea Scouts","K2 Senior",TBA,02:34:32,TBA,TBA,.
Kayak,B,1978,TBA,1978,Civilian,1,"Capps Des & Considine A","Leverton ","K2 Veteran",TBA,03:03:30,TBA,TBA,.
Kayak,C,1978,TBA,1978,Civilian,1,"",Recc,"K2 Senior",TBA,03:04:23,TBA,TBA,.
Kayak,D,1978,TBA,1978,Civilian,1,"Pearson A & Pendle Dyson","35Th Norwich Sea Scouts","K2 Senior",TBA,04:59:00,TBA,TBA,.
Kayak,D,1978,TBA,1978,Civilian,1,"Hossack D & Johnson B","Leverton ","K2 Veteran",TBA,06:38:35,TBA,TBA,.
Kayak,A,1978,TBA,1978,Civilian,2,"Hossack D & Johnson B","Leverton ","K2 Veteran",TBA,02:28:06,TBA,TBA,.
Kayak,B,1978,TBA,1978,Civilian,2,"Ralph P & Gosling J",Boarc,"K2 Senior",TBA,02:36:42,TBA,TBA,.
Kayak,C,1978,TBA,1978,Civilian,2,"Parrett B & Greenham B","Reading & Leighton Park","K2 Senior",TBA,03:13:42,TBA,TBA,.
Kayak,D,1978,TBA,1978,Civilian,2,"Ralph P & Gosling J",Boarc,"K2 Senior",TBA,05:11:40,TBA,TBA,.
Kayak,A,1978,TBA,1978,Civilian,3,"Gardner P & Pavis M","Falcon Boat Club","K2 Senior",TBA,01:53:19,TBA,TBA,.
Kayak,A,1978,TBA,1978,Civilian,3,"Haslam D & Aris W","Met Police ","K2 Veteran",TBA,02:25:51,TBA,TBA,.
