EasterSunday,Year,SeniorFlow,First,MaxWind,MinTemperature,CompletionRate
29-Mar-70,1970,64.9,19.2,,,44.7
11-Apr-71,1971,61.4,19.4,,,50.8
02-Apr-72,1972,72.2,19.1,,,70.8
22-Apr-73,1973,11.2,18.6,21.9,2,60
14-Apr-74,1974,48.6,19.7,25.9,7,55.7
30-Mar-75,1975,205,17.8,22.2,-1,70.1
18-Apr-76,1976,8.22,19.8,35.2,5,57.8
10-Apr-77,1977,80,16.9,23.7,-1,67.5
26-Mar-78,1978,90.5,16.8,40.7,1,75.9
15-Apr-79,1979,187,15.6,23.7,8,77.8
06-Apr-80,1980,158,16.3,22.2,1,73.2
19-Apr-81,1981,70.2,17.4,31.3,3,78.7
11-Apr-82,1982,116,16.1,31.3,6,70
03-Apr-83,1983,74.8,19.9,40.7,2,49.4
22-Apr-84,1984,28.1,17.4,20.6,6,74.5
07-Apr-85,1985,77.9,17.1,22.2,7,69
30-Mar-86,1986,89.3,16.7,37,2,73.3
19-Apr-87,1987,79.9,16.1,18.3,5,76.3
03-Apr-88,1988,87.8,17.1,25.9,6,74.9
26-Mar-89,1989,99.1,15.7,46.5,2,73.3
15-Apr-90,1990,48.2,17.8,25.9,0,69
31-Mar-91,1991,35.1,18.3,20.6,0,66.3
19-Apr-92,1992,72.1,17.3,25.9,9,79.9
11-Apr-93,1993,114,16,16.5,4,71.2
03-Apr-94,1994,155,15.7,38.9,3,76.2
16-Apr-95,1995,49.9,17.4,13,4,80
07-Apr-96,1996,41.6,18,20.6,1,64.8
30-Mar-97,1997,8.12,18.1,31.3,2,73.1
12-Apr-98,1998,181,15.6,18.3,5,
04-Apr-99,1999,58.1,17.9,20.6,6,
23-Apr-00,2000,229,15.25,35.2,6,
15-Apr-01,2001,158,,,,
31-Mar-02,2002,68.2,16.9,22.2,7,74.6
20-Apr-03,2003,34.1,18.6,27.8,5,54.2
11-Apr-04,2004,36.4,18.6,18.3,3,74.7
27-Mar-05,2005,22.9,17,18.3,8,77.2
16-Apr-06,2006,40.1,18.3,20.6,7,73.5
08-Apr-07,2007,58.6,17.1,14.8,4,73.9
23-Mar-08,2008,124,17.5,37,-2,47.2
12-Apr-09,2009,51,17.25,9.4,9,76.3
04-Apr-10,2010,178,16.3,25.9,6,65.6
24-Apr-11,2011,23,18.1,24.1,10,73.5
07-Apr-12,2012,10,17.95,14.8,7,71.8
31-Mar-13,2013,121,16.75,18.3,-2,62.5
20-Apr-14,2014,59,17.38,24.1,5.8,72.6
05-Apr-15,2015,53.5,16.66,11.1,5.7,72
27-Mar-16,2016,86,17.17,42.4,5,74.3
16-Apr-17,2017,20,17.45,25.9,5.5,75.8
01-Apr-18,2018,211,,,,
